pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
7,4,0,0,48,180,8,0,0,0,0,2,3,8,32,131,160,69,1,0,0,0,0,25,110,301,509,390,450,103,3,11,0,0,21,57,0,511,494,295,181,95,0,0,0,1,4,244,306,389,169,9,14,0,0,0,65,14,117,305,380,265,0,244,28,0,1,13,48,84,352,90,15,0,48,11,0,0,12,193,217,638,262,281,0,204,2,0,0,0,115,218,1023,639,247,4,0,0,0,7,2,244,466,553,705,376,6,18,0,0,22,0,100,52,29,125,161,7,39,0,0,21,0,14,214,13,155,106,0,1,1,0,0,0,16,18,23,138,61,3,0,0,0,0,0,43,3,0,20,0,0,0,0,0,0,0,86,34,0,0,43,1,0,0,0,0,28,455,64,4,126,93,0,0,0,0,2,0,92,0,0,165,116,1,5,1,0,2,0,21,1,0,264,42,3,0,2,0,0,0,74,2,3,46,38,6,0,1,0,0,0,152,19,0,432,77,0,0,0,0,0
4,0,0,48,180,8,0,0,0,0,0,3,8,32,131,160,69,1,0,0,0,0,25,110,301,509,390,450,103,3,11,0,0,21,57,0,511,494,295,181,95,0,0,0,1,4,244,306,389,169,9,14,0,0,0,65,14,117,305,380,265,0,244,28,0,0,13,48,84,352,90,15,0,48,11,0,0,12,193,217,638,262,281,0,204,2,0,0,0,115,218,1023,639,247,4,0,0,0,0,2,244,466,553,705,376,6,18,0,0,0,0,100,52,29,125,161,7,39,0,0,0,0,14,214,13,155,106,0,1,1,0,0,0,16,18,23,138,61,3,0,0,0,0,0,43,3,0,20,0,0,0,0,0,0,0,86,34,0,0,43,1,0,0,0,0,28,455,64,4,126,93,0,0,0,0,0,0,92,0,0,165,116,1,5,1,0,0,0,21,1,0,264,42,3,0,2,0,0,0,74,2,3,46,38,6,0,1,0,0,0,152,19,0,432,77,0,0,0,0,0,0
0,0,7,4,0,0,48,180,8,0,0,0,0,2,3,8,32,131,160,69,1,0,0,0,0,25,110,301,509,390,450,103,3,0,0,0,21,57,0,511,494,295,181,95,0,0,0,1,4,244,306,389,169,9,14,0,0,0,65,14,117,305,380,265,0,244,0,0,1,13,48,84,352,90,15,0,48,0,0,0,12,193,217,638,262,281,0,204,0,0,0,0,115,218,1023,639,247,4,0,0,6,7,2,244,466,553,705,376,6,18,0,1,22,0,100,52,29,125,161,7,39,0,0,21,0,14,214,13,155,106,0,1,0,2,0,0,16,18,23,138,61,3,0,0,0,0,0,43,3,0,20,0,0,0,0,0,0,0,86,34,0,0,43,1,0,0,0,0,28,455,64,4,126,93,0,0,0,2,2,0,92,0,0,165,116,1,5,0,0,2,0,21,1,0,264,42,3,0,0,0,0,0,74,2,3,46,38,6,0,0,0,0,0,152,19,0,432,77,0,0,0
0,0,0,7,4,0,0,48,180,8,0,0,0,0,2,3,8,32,131,160,69,1,0,0,0,0,25,110,301,509,390,450,103,0,0,0,0,21,57,0,511,494,295,181,0,0,0,0,1,4,244,306,389,169,9,0,0,0,0,65,14,117,305,380,265,0,0,0,0,1,13,48,84,352,90,15,0,0,0,0,0,12,193,217,638,262,281,0,0,0,0,0,0,115,218,1023,639,247,4,0,0,6,7,2,244,466,553,705,376,6,0,0,1,22,0,100,52,29,125,161,7,0,0,0,21,0,14,214,13,155,106,0,0,0,2,0,0,16,18,23,138,61,3,0,0,0,0,0,43,3,0,20,0,0,0,0,0,0,0,86,34,0,0,43,1,0,0,0,0,28,455,64,4,126,93,0,0,0,2,2,0,92,0,0,165,116,1,0,0,0,2,0,21,1,0,264,42,3,0,0,0,0,0,74,2,3,46,38,6,0,0,0,0,0,152,19,0,432,77,0,0
0,0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,2,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,2,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,1,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0,0
0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,0,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0
0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,0,27,118,299,514,408,452,106,7,14,0,0,21,61,0,509,502,313,185,108,3,0,0,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,0,0,96,56,31,121,163,9,45,1,0,0,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,0,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0,0
0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,7,0,2,2,21,61,0,509,502,313,185,108,0,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,0,2,0,15,42,95,362,108,14,2,52,0,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,0,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0
0,0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,0,0,2,2,21,61,0,509,502,313,185,0,0,0,4,2,7,240,296,382,165,12,0,0,0,0,65,14,125,302,375,267,0,0,0,2,0,15,42,95,362,108,14,2,0,0,0,0,0,184,228,636,256,283,0,0,0,0,0,0,114,215,1023,639,261,1,0,0,0,0,0,243,470,552,701,378,10,0,0,1,21,0,96,56,31,121,163,9,0,0,0,20,0,14,204,14,153,102,2,0,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,0,0,3,1,34,461,53,0,127,94,3,0,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,0,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0
0,0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,2,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,2,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,1,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0,0
0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,0,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0
0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,0,27,118,299,514,408,452,106,7,14,0,0,21,61,0,509,502,313,185,108,3,0,0,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,0,0,96,56,31,121,163,9,45,1,0,0,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,0,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0,0
0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,7,0,2,2,21,61,0,509,502,313,185,108,0,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,0,2,0,15,42,95,362,108,14,2,52,0,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,0,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0
0,0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,0,0,2,2,21,61,0,509,502,313,185,0,0,0,4,2,7,240,296,382,165,12,0,0,0,0,65,14,125,302,375,267,0,0,0,2,0,15,42,95,362,108,14,2,0,0,0,0,0,184,228,636,256,283,0,0,0,0,0,0,114,215,1023,639,261,1,0,0,0,0,0,243,470,552,701,378,10,0,0,1,21,0,96,56,31,121,163,9,0,0,0,20,0,14,204,14,153,102,2,0,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,0,0,3,1,34,461,53,0,127,94,3,0,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,0,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0
0,0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,2,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,2,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,1,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0,0
0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,0,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0
0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,0,27,118,299,514,408,452,106,7,14,0,0,21,61,0,509,502,313,185,108,3,0,0,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,0,0,96,56,31,121,163,9,45,1,0,0,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,0,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0,0
0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,7,0,2,2,21,61,0,509,502,313,185,108,0,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,0,2,0,15,42,95,362,108,14,2,52,0,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,0,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0
0,0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,0,0,2,2,21,61,0,509,502,313,185,0,0,0,4,2,7,240,296,382,165,12,0,0,0,0,65,14,125,302,375,267,0,0,0,2,0,15,42,95,362,108,14,2,0,0,0,0,0,184,228,636,256,283,0,0,0,0,0,0,114,215,1023,639,261,1,0,0,0,0,0,243,470,552,701,378,10,0,0,1,21,0,96,56,31,121,163,9,0,0,0,20,0,14,204,14,153,102,2,0,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,0,0,3,1,34,461,53,0,127,94,3,0,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,0,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0
0,0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,2,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,2,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,1,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0,0
0,0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,1,27,118,299,514,408,452,106,7,14,0,2,21,61,0,509,502,313,185,108,3,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,21,0,96,56,31,121,163,9,45,1,0,20,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0
0,4,1,49,180,6,0,0,2,0,0,0,5,32,162,157,66,0,0,3,0,0,27,118,299,514,408,452,106,7,14,0,0,21,61,0,509,502,313,185,108,3,0,0,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,28,0,0,15,42,95,362,108,14,2,52,15,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,0,0,0,96,56,31,121,163,9,45,1,0,0,0,14,204,14,153,102,2,1,0,0,0,1,16,20,25,137,60,0,0,1,0,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,0,0,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,0,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,0,0,0,157,19,4,427,75,0,0,0,0,0,0
0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,7,0,2,2,21,61,0,509,502,313,185,108,0,0,4,2,7,240,296,382,165,12,9,0,0,0,65,14,125,302,375,267,0,242,0,2,0,15,42,95,362,108,14,2,52,0,0,0,0,184,228,636,256,283,0,197,0,0,0,0,114,215,1023,639,261,1,6,0,0,0,0,243,470,552,701,378,10,18,0,1,21,0,96,56,31,121,163,9,45,0,0,20,0,14,204,14,153,102,2,1,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,2,0,3,1,34,461,53,0,127,94,3,1,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,4,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0,0
0,0,0,0,0,4,1,49,180,6,0,0,0,0,0,0,5,32,162,157,66,0,0,0,0,1,27,118,299,514,408,452,106,0,0,2,2,21,61,0,509,502,313,185,0,0,0,4,2,7,240,296,382,165,12,0,0,0,0,65,14,125,302,375,267,0,0,0,2,0,15,42,95,362,108,14,2,0,0,0,0,0,184,228,636,256,283,0,0,0,0,0,0,114,215,1023,639,261,1,0,0,0,0,0,243,470,552,701,378,10,0,0,1,21,0,96,56,31,121,163,9,0,0,0,20,0,14,204,14,153,102,2,0,0,1,0,1,16,20,25,137,60,0,0,0,1,0,0,43,3,0,21,0,0,0,0,0,0,0,98,34,0,1,45,1,0,0,3,1,34,461,53,0,127,94,3,0,0,0,0,3,95,0,0,162,120,0,0,0,1,0,0,22,1,0,264,42,0,0,0,0,0,0,76,3,0,46,32,0,0,0,5,0,0,157,19,4,427,75,0,0
0,0,3,5,0,53,185,3,0,0,0,4,0,0,10,32,127,158,72,4,0,1,4,3,30,115,298,520,376,452,104,3,12,0,4,22,58,1,500,503,293,193,95,1,0,3,2,8,246,313,377,148,11,3,0,1,1,69,12,127,302,372,276,3,237,26,5,0,12,52,100,358,116,21,1,45,11,0,0,11,188,229,633,259,286,0,185,1,0,0,0,161,214,1023,638,257,2,4,3,0,1,0,240,468,545,693,378,4,17,0,0,25,0,90,54,32,118,162,12,42,0,2,20,0,15,144,17,152,106,0,2,0,0,0,0,19,28,23,139,58,0,1,0,1,2,0,44,4,0,17,0,0,0,0,0,0,0,98,32,0,0,36,0,0,2,0,1,29,453,63,0,125,91,2,0,2,0,0,0,96,0,0,171,116,0,0,0,0,0,0,20,0,2,265,43,0,0,0,1,2,1,96,0,2,48,39,0,3,0,0,0,0,152,19,0,423,76,0,2,0,0
0,3,5,0,53,185,3,0,0,0,0,0,0,10,32,127,158,72,4,0,1,0,3,30,115,298,520,376,452,104,3,12,0,4,22,58,1,500,503,293,193,95,1,0,3,2,8,246,313,377,148,11,3,0,0,1,69,12,127,302,372,276,3,237,26,0,0,12,52,100,358,116,21,1,45,11,0,0,11,188,229,633,259,286,0,185,1,0,0,0,161,214,1023,638,257,2,4,3,0,1,0,240,468,545,693,378,4,17,0,0,25,0,90,54,32,118,162,12,42,0,0,20,0,15,144,17,152,106,0,2,0,0,0,0,19,28,23,139,58,0,1,0,0,2,0,44,4,0,17,0,0,0,0,0,0,0,98,32,0,0,36,0,0,2,0,1,29,453,63,0,125,91,2,0,2,0,0,0,96,0,0,171,116,0,0,0,0,0,0,20,0,2,265,43,0,0,0,0,2,1,96,0,2,48,39,0,3,0,0,0,0,152,19,0,423,76,0,2,0,0,0
3,5,0,53,185,3,0,0,0,0,0,0,10,32,127,158,72,4,0,1,0,0,30,115,298,520,376,452,104,3,12,0,0,22,58,1,500,503,293,193,95,1,0,0,2,8,246,313,377,148,11,3,0,0,0,69,12,127,302,372,276,3,237,26,0,0,12,52,100,358,116,21,1,45,11,0,0,11,188,229,633,259,286,0,185,1,0,0,0,161,214,1023,638,257,2,4,3,0,0,0,240,468,545,693,378,4,17,0,0,0,0,90,54,32,118,162,12,42,0,0,0,0,15,144,17,152,106,0,2,0,0,0,0,19,28,23,139,58,0,1,0,0,0,0,44,4,0,17,0,0,0,0,0,0,0,98,32,0,0,36,0,0,2,0,0,29,453,63,0,125,91,2,0,2,0,0,0,96,0,0,171,116,0,0,0,0,0,0,20,0,2,265,43,0,0,0,0,0,1,96,0,2,48,39,0,3,0,0,0,0,152,19,0,423,76,0,2,0,0,0,0
0,0,0,3,5,0,53,185,3,0,0,0,4,0,0,10,32,127,158,72,4,0,0,4,3,30,115,298,520,376,452,104,3,0,0,4,22,58,1,500,503,293,193,95,0,0,3,2,8,246,313,377,148,11,3,0,1,1,69,12,127,302,372,276,3,237,0,5,0,12,52,100,358,116,21,1,45,0,0,0,11,188,229,633,259,286,0,185,0,0,0,0,161,214,1023,638,257,2,4,0,0,1,0,240,468,545,693,378,4,17,0,0,25,0,90,54,32,118,162,12,42,0,2,20,0,15,144,17,152,106,0,2,0,0,0,0,19,28,23,139,58,0,1,0,1,2,0,44,4,0,17,0,0,0,0,0,0,0,98,32,0,0,36,0,0,0,0,1,29,453,63,0,125,91,2,0,0,0,0,0,96,0,0,171,116,0,0,0,0,0,0,20,0,2,265,43,0,0,0,1,2,1,96,0,2,48,39,0,3,0,0,0,0,152,19,0,423,76,0,2,0
0,0,0,0,3,5,0,53,185,3,0,0,0,4,0,0,10,32,127,158,72,4,0,0,4,3,30,115,298,520,376,452,104,0,0,0,4,22,58,1,500,503,293,193,0,0,0,3,2,8,246,313,377,148,11,0,0,1,1,69,12,127,302,372,276,3,0,0,5,0,12,52,100,358,116,21,1,0,0,0,0,11,188,229,633,259,286,0,0,0,0,0,0,161,214,1023,638,257,2,0,0,0,1,0,240,468,545,693,378,4,0,0,0,25,0,90,54,32,118,162,12,0,0,2,20,0,15,144,17,152,106,0,0,0,0,0,0,19,28,23,139,58,0,0,0,1,2,0,44,4,0,17,0,0,0,0,0,0,0,98,32,0,0,36,0,0,0,0,1,29,453,63,0,125,91,2,0,0,0,0,0,96,0,0,171,116,0,0,0,0,0,0,20,0,2,265,43,0,0,0,1,2,1,96,0,2,48,39,0,0,0,0,0,0,152,19,0,423,76,0,0
