pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,0,2,4,26,18,2,1,34,15,0,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,0,0,223,0,0,1,7,12,1,16,32,0,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,0,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,0,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,0,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,0,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,3
0,2,4,26,18,2,1,34,15,2,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,1,3,223,0,0,1,7,12,1,16,32,23,0,58,1,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,4,0,0,216,342,586,97,0,51,0,3,2,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,2,0,3,0,22,148,36,145,4,1,1,3,1,0,3,0,3,1,14,2,2,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,3
2,4,26,18,2,1,34,15,2,0,0,0,12,56,165,87,28,4,51,0,0,0,0,50,251,4,127,1,0,319,1,3,0,0,0,1,7,12,1,16,32,23,0,0,1,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,0,0,0,216,342,586,97,0,51,0,3,0,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,0,2,0,45,317,6,589,1,0,0,2,0,3,0,22,148,36,145,4,1,1,3,0,0,3,0,3,1,14,2,2,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,0,3
4,26,18,2,1,34,15,2,0,0,0,12,56,165,87,28,4,51,0,0,0,0,50,251,4,127,1,0,319,1,3,0,0,0,1,7,12,1,16,32,23,0,0,0,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,0,0,0,216,342,586,97,0,51,0,3,0,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,0,0,105,279,0,126,17,0,0,0,0,0,0,45,317,6,589,1,0,0,2,0,0,0,22,148,36,145,4,1,1,3,0,0,3,0,3,1,14,2,2,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,0,0,3
0,0,2,4,26,18,2,1,34,15,2,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,1,0,223,0,0,1,7,12,1,16,32,23,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,3,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,1,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,1,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,3
0,0,0,2,4,26,18,2,1,34,15,0,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,0,0,223,0,0,1,7,12,1,16,32,0,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,0,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,0,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,0,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,0,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,3
0,2,4,26,18,2,1,34,15,2,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,1,3,223,0,0,1,7,12,1,16,32,23,0,58,1,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,4,0,0,216,342,586,97,0,51,0,3,2,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,2,0,3,0,22,148,36,145,4,1,1,3,1,0,3,0,3,1,14,2,2,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,3
2,4,26,18,2,1,34,15,2,0,0,0,12,56,165,87,28,4,51,0,0,0,0,50,251,4,127,1,0,319,1,3,0,0,0,1,7,12,1,16,32,23,0,0,1,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,0,0,0,216,342,586,97,0,51,0,3,0,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,0,2,0,45,317,6,589,1,0,0,2,0,3,0,22,148,36,145,4,1,1,3,0,0,3,0,3,1,14,2,2,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,0,3
4,26,18,2,1,34,15,2,0,0,0,12,56,165,87,28,4,51,0,0,0,0,50,251,4,127,1,0,319,1,3,0,0,0,1,7,12,1,16,32,23,0,0,0,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,0,0,0,216,342,586,97,0,51,0,3,0,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,0,0,105,279,0,126,17,0,0,0,0,0,0,45,317,6,589,1,0,0,2,0,0,0,22,148,36,145,4,1,1,3,0,0,3,0,3,1,14,2,2,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,0,0,3
0,0,2,4,26,18,2,1,34,15,2,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,1,0,223,0,0,1,7,12,1,16,32,23,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,3,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,1,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,1,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,3
0,0,0,2,4,26,18,2,1,34,15,0,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,0,0,223,0,0,1,7,12,1,16,32,0,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,0,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,0,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,0,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,0,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,3
0,2,4,26,18,2,1,34,15,2,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,1,3,223,0,0,1,7,12,1,16,32,23,0,58,1,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,4,0,0,216,342,586,97,0,51,0,3,2,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,2,0,3,0,22,148,36,145,4,1,1,3,1,0,3,0,3,1,14,2,2,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,3
2,4,26,18,2,1,34,15,2,0,0,0,12,56,165,87,28,4,51,0,0,0,0,50,251,4,127,1,0,319,1,3,0,0,0,1,7,12,1,16,32,23,0,0,1,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,0,0,0,216,342,586,97,0,51,0,3,0,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,0,2,0,45,317,6,589,1,0,0,2,0,3,0,22,148,36,145,4,1,1,3,0,0,3,0,3,1,14,2,2,0,1,0,2,0,1,0,0,2,0,0,0,1,0,1,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,0,3
4,26,18,2,1,34,15,2,0,0,0,12,56,165,87,28,4,51,0,0,0,0,50,251,4,127,1,0,319,1,3,0,0,0,1,7,12,1,16,32,23,0,0,0,5,41,233,425,48,4,0,0,5,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,1,0,0,0,254,379,207,12,0,0,3,0,0,0,0,216,342,586,97,0,51,0,3,0,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,0,0,105,279,0,126,17,0,0,0,0,0,0,45,317,6,589,1,0,0,2,0,0,0,22,148,36,145,4,1,1,3,0,0,3,0,3,1,14,2,2,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,0,5,4,3,1,3,0,0,1,3,33,2,0,0,0,0,19,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,0,0,0,3
0,0,2,4,26,18,2,1,34,15,2,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,1,0,223,0,0,1,7,12,1,16,32,23,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,3,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,2,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,1,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,1,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,0,3
0,0,0,2,4,26,18,2,1,34,15,0,0,7,0,12,56,165,87,28,4,51,0,0,54,0,50,251,4,127,1,0,319,0,0,223,0,0,1,7,12,1,16,32,0,0,58,1,5,41,233,425,48,4,0,0,0,0,0,2,121,542,649,1,1,0,0,0,0,0,0,37,238,196,35,0,0,0,0,0,0,0,254,379,207,12,0,0,0,0,4,0,0,216,342,586,97,0,51,0,0,2,0,0,83,241,97,111,15,18,0,0,0,0,1,199,205,177,337,83,0,0,0,0,2,0,105,279,0,126,17,0,0,0,9,2,0,45,317,6,589,1,0,0,0,0,3,0,22,148,36,145,4,1,0,0,1,0,3,0,3,1,14,2,2,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,1,0,5,4,3,0,0,0,0,1,3,33,2,0,0,0,0,0,0,0,0,0,108,0,0,49,93,0,0,0,0,0,11,31,14,0,3,1,3
1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,24,0,61,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,3,0,3,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,2,3,0,1,1,86,242,96,107,14,19,3,2,0,5,1,194,211,177,340,80,3,3,3,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,0,1,4,2,1,0,4,0,0,0,2,6,1,4,0,28,3,4,0,3,2,21,2,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,0,3
0,5,26,20,0,3,40,17,0,0,0,3,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,0,0,0,0,7,13,0,19,40,24,0,0,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,3,0,3,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,0,0,0,240,331,585,86,1,50,2,3,0,1,1,86,242,96,107,14,19,3,2,0,5,1,194,211,177,340,80,3,3,3,0,0,0,104,275,3,124,13,0,0,0,0,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,4,2,1,0,4,0,0,0,2,0,1,4,0,28,3,4,0,3,2,21,0,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,0,0,3
5,26,20,0,3,40,17,0,0,0,0,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,0,0,0,0,7,13,0,19,40,24,0,0,0,7,41,234,412,47,1,0,1,0,0,0,0,124,511,647,0,0,0,2,3,0,0,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,0,0,0,240,331,585,86,1,50,2,3,0,0,1,86,242,96,107,14,19,3,2,0,0,1,194,211,177,340,80,3,3,3,0,0,0,104,275,3,124,13,0,0,0,0,0,0,47,321,10,585,3,0,0,0,0,0,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,4,2,1,0,4,0,0,0,2,0,0,4,0,28,3,4,0,3,2,21,0,0,5,0,103,0,4,53,91,1,0,0,0,0,12,33,16,5,2,4,0,0,0,0,3
0,1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,0,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,24,0,61,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,0,0,3,0,41,223,190,37,1,0,1,0,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,2,0,0,1,1,86,242,96,107,14,19,3,0,0,5,1,194,211,177,340,80,3,3,0,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,4,2,1,0,4,0,0,0,0,6,1,4,0,28,3,4,0,3,2,0,2,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,3
0,0,1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,0,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,0,0,61,0,7,41,234,412,47,1,0,0,0,0,1,0,124,511,647,0,0,0,0,0,0,3,0,41,223,190,37,1,0,0,0,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,0,0,0,1,1,86,242,96,107,14,19,0,0,0,5,1,194,211,177,340,80,3,0,0,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,4,2,1,0,4,0,0,0,0,6,1,4,0,28,3,4,0,3,0,0,2,3,5,0,103,0,4,53,91,0,0,0,2,0,12,33,16,5,2,4,3
1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,24,0,61,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,3,0,3,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,2,3,0,1,1,86,242,96,107,14,19,3,2,0,5,1,194,211,177,340,80,3,3,3,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,0,1,4,2,1,0,4,0,0,0,2,6,1,4,0,28,3,4,0,3,2,21,2,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,0,3
0,5,26,20,0,3,40,17,0,0,0,3,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,0,0,0,0,7,13,0,19,40,24,0,0,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,3,0,3,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,0,0,0,240,331,585,86,1,50,2,3,0,1,1,86,242,96,107,14,19,3,2,0,5,1,194,211,177,340,80,3,3,3,0,0,0,104,275,3,124,13,0,0,0,0,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,4,2,1,0,4,0,0,0,2,0,1,4,0,28,3,4,0,3,2,21,0,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,0,0,3
5,26,20,0,3,40,17,0,0,0,0,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,0,0,0,0,7,13,0,19,40,24,0,0,0,7,41,234,412,47,1,0,1,0,0,0,0,124,511,647,0,0,0,2,3,0,0,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,0,0,0,240,331,585,86,1,50,2,3,0,0,1,86,242,96,107,14,19,3,2,0,0,1,194,211,177,340,80,3,3,3,0,0,0,104,275,3,124,13,0,0,0,0,0,0,47,321,10,585,3,0,0,0,0,0,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,4,2,1,0,4,0,0,0,2,0,0,4,0,28,3,4,0,3,2,21,0,0,5,0,103,0,4,53,91,1,0,0,0,0,12,33,16,5,2,4,0,0,0,0,3
0,1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,0,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,24,0,61,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,0,0,3,0,41,223,190,37,1,0,1,0,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,2,0,0,1,1,86,242,96,107,14,19,3,0,0,5,1,194,211,177,340,80,3,3,0,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,4,2,1,0,4,0,0,0,0,6,1,4,0,28,3,4,0,3,2,0,2,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,3
0,0,1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,0,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,0,0,61,0,7,41,234,412,47,1,0,0,0,0,1,0,124,511,647,0,0,0,0,0,0,3,0,41,223,190,37,1,0,0,0,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,0,0,0,1,1,86,242,96,107,14,19,0,0,0,5,1,194,211,177,340,80,3,0,0,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,4,2,1,0,4,0,0,0,0,6,1,4,0,28,3,4,0,3,0,0,2,3,5,0,103,0,4,53,91,0,0,0,2,0,12,33,16,5,2,4,3
1,0,5,26,20,0,3,40,17,0,0,1,3,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,216,0,0,0,7,13,0,19,40,24,0,61,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,3,0,3,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,2,0,0,240,331,585,86,1,50,2,3,0,1,1,86,242,96,107,14,19,3,2,0,5,1,194,211,177,340,80,3,3,3,3,0,0,104,275,3,124,13,0,0,0,6,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,0,1,4,2,1,0,4,0,0,0,2,6,1,4,0,28,3,4,0,3,2,21,2,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,0,3
0,5,26,20,0,3,40,17,0,0,0,3,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,0,0,0,0,7,13,0,19,40,24,0,0,0,7,41,234,412,47,1,0,1,0,0,1,0,124,511,647,0,0,0,2,3,0,3,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,0,0,0,240,331,585,86,1,50,2,3,0,1,1,86,242,96,107,14,19,3,2,0,5,1,194,211,177,340,80,3,3,3,0,0,0,104,275,3,124,13,0,0,0,0,0,0,47,321,10,585,3,0,0,0,0,1,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,1,4,2,1,0,4,0,0,0,2,0,1,4,0,28,3,4,0,3,2,21,0,3,5,0,103,0,4,53,91,1,0,0,2,0,12,33,16,5,2,4,0,0,0,3
5,26,20,0,3,40,17,0,0,0,0,13,55,166,89,28,5,46,0,1,0,0,48,248,2,128,0,2,318,0,0,0,0,0,0,7,13,0,19,40,24,0,0,0,7,41,234,412,47,1,0,1,0,0,0,0,124,511,647,0,0,0,2,3,0,0,0,41,223,190,37,1,0,1,2,0,0,0,249,377,203,18,1,0,0,0,0,0,0,240,331,585,86,1,50,2,3,0,0,1,86,242,96,107,14,19,3,2,0,0,1,194,211,177,340,80,3,3,3,0,0,0,104,275,3,124,13,0,0,0,0,0,0,47,321,10,585,3,0,0,0,0,0,2,21,144,35,149,6,0,0,0,0,0,0,0,8,1,12,0,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,4,2,1,0,4,0,0,0,2,0,0,4,0,28,3,4,0,3,2,21,0,0,5,0,103,0,4,53,91,1,0,0,0,0,12,33,16,5,2,4,0,0,0,0,3
